,x,y
:,-2.3596077,-0.29416215
",",1.7527068,-1.7596248
[,-5.424517,-0.92365104
],-5.419701,-0.9748896
the,1.2591844,-2.828933
and,2.1931424,-2.2067668
?,6.884384,-1.7714233
),-1.9111434,2.5856445
(,-2.0786922,2.9373872
of,0.8262366,-2.5202432
to,1.4474242,-0.86213976
was,2.3490314,-6.5600514
a,1.3588433,-3.4013133
with,2.2266917,-1.9134148
on,-0.69596213,-2.4591115
in,0.733215,-1.6107222
no,4.8972282,-3.6351695
for,2.5079112,-0.9447154
is,1.723131,-7.2376547
.,-1.9993947,0.3179857
she,4.45679,0.30353937
or,5.1884766,-3.121934
patient,4.2987022,0.49127963
**,-1.6710736,3.7659247
tablet,-5.618728,2.9430406
1,-3.0290813,2.7824273
mg,-6.162319,2.1692374
as,2.030704,0.047058284
at,0.42343363,-0.23969547
he,4.466988,0.28348982
left,1.6664084,1.7747467
right,1.6628426,1.7833307
her,3.5912771,-1.5325547
name,-1.7829539,4.6806374
discharge,-3.3566082,-2.5327756
po,-4.4521832,3.0253606
blood,3.05427,3.6264875
sig,-6.2679915,3.6351404
2,-3.008907,2.1678505
not,3.5814326,-3.8064792
were,2.3758261,-7.7910767
one,-3.5605984,3.9394355
history,4.3573666,-7.5870247
there,1.0806509,-5.021932
you,7.1405168,-0.9675657
had,3.1356282,-5.7831674
his,3.54605,-1.5716007
ct,-1.7347869,-5.191334
by,-0.50954485,-0.97083735
be,4.9312196,-5.545051
this,2.0871062,-3.9204457
daily,-5.3555226,2.1781285
are,1.8690152,-7.836519
-,-2.478384,-0.0061498233
head,-1.3889134,-4.1674433
an,1.301228,-3.7771456
date,-5.4081435,-2.2530823
your,6.9707813,-1.4067957
day,-4.7095456,1.1495454
from,0.95039904,-1.2132273
**last,-0.47664836,4.74401
that,2.4498613,-3.4332674
which,2.2179732,-3.1460898
hemorrhage,-1.2296606,-6.073726
pain,5.2993803,-1.5760574
have,4.1117296,-5.498936
admission,-3.3012023,-2.2964027
5,-2.790515,1.3676711
medications,-3.9782054,-1.7310686
normal,-3.2474902,-4.5540605
but,2.5550606,-2.4540243
showed,2.14613,-5.658185
**first,-0.5704258,4.682323
times,-4.022949,2.330774
subarachnoid,-0.76095915,-4.425183
aneurysm,-0.32739615,-5.599967
1.,-2.8926582,-1.300237
2.,-2.7057056,-1.2428808
--,-2.8741114,0.26020753
exam,-1.6328238,-3.2518282
pt,3.9918497,1.0160701
#,-3.7495542,-0.4624801
artery,-0.2537454,-5.8073997
has,3.4130368,-5.8072004
hours,-4.1834316,1.2118751
cerebral,-0.59338474,-4.997909
status,-1.611259,-2.9242833
3,-2.9180458,1.8503469
without,3.8588355,-3.1706975
stable,-0.9532989,-3.2646012
4,-2.7520053,1.8596334
evidence,0.5241034,-5.2848244
stitle,-1.3378617,4.0880594
%,-1.4624164,1.0859982
**hospital1,-0.79284173,2.3357944
capsule,-5.3311863,2.9255893
hospital,-0.11029592,-3.5726907
any,4.95241,-2.844412
also,1.8256832,-2.999315
headache,5.088294,-1.2863867
